ID,YLD_BUPA,TW_LBBU,HD_JUL,HT_IN,PMD09,LFRUST09,FHB09
LINE1,84.09,55.95,119.98,32.61,0.00,NA,7.00
LINE10,76.61,57.46,118.86,33.87,1.56,1.88,NA
LINE100,62.48,55.21,117.36,32.78,NA,0.81,NA
LINE101,72.36,57.14,115.78,35.54,NA,1.31,NA
LINE102,78.27,55.25,120.62,34.62,NA,0.81,NA
LINE103,82.16,56.45,120.30,35.56,NA,1.31,NA
LINE104,67.16,57.06,118.03,36.89,NA,0.81,NA
LINE105,59.96,55.03,117.89,36.98,NA,0.81,NA
LINE106,63.08,58.11,118.14,35.23,NA,0.81,NA
LINE107,65.58,56.51,119.12,35.88,NA,0.81,NA
LINE108,63.31,56.06,117.76,39.08,NA,2.31,NA
LINE109,63.99,55.66,119.16,36.97,NA,2.31,NA
LINE11,74.69,58.06,120.58,29.96,1.56,1.13,NA
LINE110,54.62,55.36,118.47,35.67,NA,1.81,NA
LINE111,65.94,56.15,120.17,35.39,NA,0.81,NA
LINE112,58.29,54.17,119.62,39.14,NA,2.31,NA
LINE113,65.63,57.64,121.31,35.15,NA,1.31,NA
LINE114,71.36,56.39,118.86,37.85,NA,1.31,NA
LINE115,60.81,57.48,122.90,35.53,1.56,1.63,NA
LINE116,73.59,55.78,118.73,36.04,1.02,1.63,NA
LINE117,75.26,55.77,121.26,36.19,1.56,1.38,NA
LINE118,68.48,55.21,118.28,33.58,1.56,1.88,NA
LINE119,76.84,55.08,122.25,36.07,1.56,1.38,NA
LINE12,70.69,56.50,119.21,32.08,1.56,1.38,NA
LINE120,71.37,58.09,118.86,37.46,3.56,1.13,NA
LINE121,79.96,55.88,121.33,33.84,1.56,2.38,NA
LINE122,75.40,55.89,119.82,35.23,0.52,1.63,NA
LINE123,67.03,53.32,119.05,34.61,1.56,1.13,NA
LINE124,58.85,56.24,120.35,34.75,1.56,1.88,NA
LINE125,69.18,56.72,120.24,33.34,1.56,1.13,NA
LINE126,73.14,56.16,118.68,29.64,1.02,1.38,NA
LINE127,70.41,57.01,119.37,32.57,1.56,1.63,NA
LINE128,73.98,55.76,119.06,34.98,3.77,1.38,NA
LINE129,73.11,51.68,117.86,33.63,1.56,4.63,NA
LINE13,84.31,56.16,117.22,35.56,1.56,1.13,NA
LINE130,68.35,56.81,119.43,35.15,1.56,2.63,NA
LINE131,65.44,54.17,116.21,35.86,1.56,1.38,NA
LINE132,70.65,57.27,119.58,41.09,1.56,1.13,NA
LINE133,66.13,57.24,118.53,36.73,1.56,4.13,NA
LINE134,60.73,57.53,118.86,37.64,0.00,NA,NA
LINE135,52.47,56.81,116.19,29.43,0.48,NA,NA
LINE136,72.72,55.74,116.90,30.51,0.48,NA,NA
LINE137,72.00,57.23,117.35,32.28,0.00,NA,NA
LINE138,62.75,56.37,117.60,32.06,0.00,NA,NA
LINE139,71.94,57.30,121.53,35.88,1.48,NA,NA
LINE14,91.28,58.19,118.48,36.68,1.46,1.44,6.00
LINE140,39.75,51.16,125.38,39.83,0.00,NA,NA
LINE141,66.60,54.60,115.66,32.69,1.48,NA,NA
LINE142,77.59,56.64,120.36,35.28,1.21,0.94,6.00
LINE143,77.87,59.05,124.82,35.75,0.71,1.19,1.00
LINE144,78.14,55.42,121.04,33.94,0.71,2.69,2.00
LINE145,71.41,56.58,118.65,35.73,4.79,5.50,NA
LINE146,75.45,55.46,116.90,33.82,1.15,5.15,NA
LINE147,73.79,56.34,119.53,33.24,1.56,1.13,NA
LINE148,NA,NA,112.45,34.20,1.30,0.00,4.50
LINE149,NA,NA,120.45,35.20,1.80,0.00,8.50
LINE15,82.60,56.77,116.88,30.44,1.52,1.13,NA
LINE150,NA,NA,115.45,33.70,3.30,0.00,5.50
LINE151,NA,NA,120.45,34.20,1.80,0.64,5.00
LINE152,NA,NA,117.95,36.20,3.30,0.00,3.50
LINE153,NA,NA,116.95,30.70,1.30,0.64,5.00
LINE154,81.43,58.58,116.58,32.60,3.65,NA,5.50
LINE155,85.59,58.20,118.15,31.13,2.65,NA,4.50
LINE156,88.03,55.98,118.08,33.41,7.06,1.13,NA
LINE157,84.56,56.65,119.74,36.93,1.56,1.63,NA
LINE158,88.19,56.34,119.66,33.64,0.00,NA,NA
LINE159,79.63,53.73,117.26,32.53,5.98,NA,NA
LINE16,83.85,55.75,116.87,29.82,2.27,1.13,NA
LINE160,89.74,56.30,119.13,33.75,0.00,NA,NA
LINE161,75.53,57.75,114.64,32.09,0.79,1.69,NA
LINE162,72.92,56.01,116.39,32.15,4.22,7.64,NA
LINE163,65.91,57.97,117.39,33.31,4.55,7.64,NA
LINE164,61.44,56.82,117.89,31.83,6.89,7.39,NA
LINE165,61.97,58.42,118.64,34.89,6.05,7.39,NA
LINE166,75.53,56.87,120.51,35.97,1.55,3.39,NA
LINE167,71.11,57.88,121.76,36.38,2.22,2.64,NA
LINE168,73.21,58.41,119.92,35.20,1.19,1.94,NA
LINE169,76.25,58.48,118.79,33.88,2.12,3.25,NA
LINE17,95.53,57.28,119.47,36.14,1.71,0.44,3.00
LINE170,74.36,57.17,117.51,32.30,0.72,0.64,NA
LINE171,48.91,54.65,118.29,32.64,2.12,2.75,NA
LINE172,58.91,57.89,116.76,37.47,1.55,5.14,NA
LINE173,51.36,57.77,118.39,33.50,1.72,5.14,NA
LINE174,64.77,58.64,117.14,34.74,3.05,5.89,NA
LINE175,80.34,58.75,118.25,36.99,2.19,2.63,1.00
LINE176,78.10,59.01,118.18,37.61,4.56,3.68,1.50
LINE177,76.82,59.36,122.18,35.41,0.00,0.68,0.50
LINE178,78.15,59.30,120.18,40.09,3.56,1.68,1.00
LINE179,62.86,59.24,119.70,42.03,4.31,2.18,1.00
LINE18,81.29,58.59,120.13,32.97,0.48,NA,NA
LINE180,77.85,56.19,117.00,34.57,6.86,3.38,1.00
LINE181,70.50,59.10,116.36,35.94,5.46,2.59,NA
LINE182,64.18,59.42,116.07,43.20,5.06,5.68,1.50
LINE183,77.08,57.91,118.84,42.72,4.81,1.68,1.00
LINE184,78.06,56.90,116.97,34.62,5.96,1.59,NA
LINE185,70.97,56.97,115.79,35.05,5.62,3.00,NA
LINE186,67.89,55.07,117.79,33.94,3.12,6.75,NA
LINE187,78.29,54.86,118.29,35.00,2.12,4.50,NA
LINE188,77.06,55.36,118.95,35.68,2.71,4.71,NA
LINE189,76.16,55.10,117.79,33.65,4.12,5.25,NA
LINE19,66.78,56.70,117.02,30.47,3.48,NA,NA
LINE190,NA,NA,118.45,34.70,1.30,3.64,5.50
LINE191,NA,NA,118.95,34.70,7.80,2.64,5.00
LINE192,68.56,56.74,117.45,33.45,1.62,2.75,NA
LINE193,69.18,56.02,117.95,34.95,3.12,1.50,NA
LINE194,48.74,53.77,118.62,33.69,1.62,7.25,NA
LINE195,76.97,55.16,116.95,34.32,4.62,3.00,NA
LINE196,81.15,57.44,118.29,35.50,1.62,3.50,NA
LINE197,72.82,54.70,117.95,35.14,4.62,5.00,NA
